old_folder,new_folder
ARP_Table,ARP_TABLE
Adapter_Info,ADAPTER_INFO
Audit_Policy,AUDIT_POLICY
Battery_Report,BATTERY_REPORT
Bcd_View,BCD_VIEW
Bios_Info,BIOS_INFO
Bitlocker_Status,BITLOCKER_STATUS
Boot_Time,BOOT_TIME
Cert_Expiry,CERT_EXPIRY
Check_Disk_Fix,CHECK_DISK_FIX
Check_Disk_Scan,CHECK_DISK_SCAN
Check_Winget,CHECK_WINGET
Clear_Browsers,CLEAR_BROWSERS
Clear_Delopt,CLEAR_DELOPT
Clear_Prefetch,CLEAR_PREFETCH
Clear_Recent,CLEAR_RECENT
Clear_Thumbnail_Cache,CLEAR_THUMBNAIL_CACHE
Clear_Windows_Temporary_Files,CLEAR_WINDOWS_TEMPORARY_FILES
Clear_Windows_Update_Cache,CLEAR_WINDOWS_UPDATE_CACHE
Comp_Store,COMP_STORE
Cpuhogs,CPUHOGS
DNS_Flush,DNS_FLUSH
DNS_Test,DNS_TEST
Deep_Cleanup,DEEP_CLEANUP
Defrag_Anal,DEFRAG_ANALYZE
Disable_Safe,DISABLE_SAFE
Disk_Bench,DISK_BENCH
Disk_Usage,DISK_USAGE
Domain_Check,DOMAIN_CHECK
Empty_Recycle_Bin,EMPTY_RECYCLE_BIN
Enable_Safe,ENABLE_SAFE
Exec_Policy,EXEC_POLICY
FW_Logging,FW_LOGGING
FW_Rules,FW_RULES
Failed_Logons,FAILED_LOGONS
Hyperv_Status,HYPERV_STATUS
Installed_Updates,INSTALLED_UPDATES
Kernel_Drivers,KERNEL_DRIVERS
Large_Files,LARGE_FILES
Last_Logons,LAST_LOGONS
Last_Wake,LAST_WAKE
MDM_Status,MDM_STATUS
Net_Adapter_Reset,NET_ADAPTER_RESET
Net_Info,NET_INFO
Open_Ports,OPEN_PORTS
Pending_Reboot,PENDING_REBOOT
Ping_Trace,PING_TRACE
Pkt_Capture,PKT_CAPTURE
Port_Test,PORT_TEST
PowerShell_Hardware_Report,POWERSHELL_HARDWARE_REPORT
PowerShell_Temperatures,POWERSHELL_TEMPERATURES
PowerShell_Windows_Update_Check,POWERSHELL_WINDOWS_UPDATE_CHECK
PowerShell_Windows_Update_History,POWERSHELL_WINDOWS_UPDATE_HISTORY
Power_Report,POWER_REPORT
Powershell_Adapters,POWERSHELL_ADAPTERS
Powershell_App_Crash,POWERSHELL_APP_CRASH
Powershell_Battery,POWERSHELL_BATTERY
Powershell_Bsod,POWERSHELL_BSOD
Powershell_CPU,POWERSHELL_CPU
Powershell_DNS_Cache,POWERSHELL_DNS_CACHE
Powershell_Defender,POWERSHELL_DEFENDER
Powershell_Dupes,POWERSHELL_DUPES
Powershell_Envvars,POWERSHELL_ENVVARS
Powershell_Eventlog,POWERSHELL_EVENTLOG
Powershell_FW_Status,POWERSHELL_FW_STATUS
Powershell_Features,POWERSHELL_FEATURES
Powershell_Find_Ext,POWERSHELL_FIND_EXT
Powershell_Folder_Size,POWERSHELL_FOLDER_SIZE
Powershell_Full_Report,POWERSHELL_FULL_REPORT
Powershell_GPU,POWERSHELL_GPU
Powershell_Inet_Test,POWERSHELL_INET_TEST
Powershell_Kill_Proc,POWERSHELL_KILL_PROC
Powershell_Old_Files,POWERSHELL_OLD_FILES
Powershell_Privs,POWERSHELL_PRIVS
Powershell_Processes,POWERSHELL_PROCESSES
Powershell_Pwpolicy,POWERSHELL_PWPOLICY
Powershell_Restart_Svc,POWERSHELL_RESTART_SVC
Powershell_Routes,POWERSHELL_ROUTES
Powershell_Services,POWERSHELL_SERVICES
Powershell_Sessions,POWERSHELL_SESSIONS
Powershell_Software,POWERSHELL_SOFTWARE
Powershell_Start_Svc,POWERSHELL_START_SVC
Powershell_Stopped_Svcs,POWERSHELL_STOPPED_SVCS
Powershell_TCP_Procs,POWERSHELL_TCP_PROCS
Powershell_TPM,POWERSHELL_TPM
Powershell_Tasks,POWERSHELL_TASKS
Powershell_Threats,POWERSHELL_THREATS
Powershell_Uptime,POWERSHELL_UPTIME
Powershell_Users_Groups,POWERSHELL_USERS_GROUPS
Print_Flush,PRINT_FLUSH
Print_Status,PRINT_STATUS
Proxy_Check,PROXY_CHECK
Quick_Cleanup,QUICK_CLEANUP
Quick_Summary,QUICK_SUMMARY
RAM_Info,RAM_INFO
Recent_Files,RECENT_FILES
Run_DISM_Repair,RUN_DISM_REPAIR
Run_System_File_Checker,RUN_SYSTEM_FILE_CHECKER
SMB_Shares,SMB_SHARES
Safemode_Toggle,SAFEMODE_TOGGLE
Setup_Check_Readonly,SETUP_CHECK_READONLY
Setup_Depcheck_Builtin,SETUP_DEPCHECK_BUILTIN
Setup_Depcheck_Full,SETUP_DEPCHECK_FULL
Setup_Depcheck_Tools,SETUP_DEPCHECK_TOOLS
Smart_Status,SMART_STATUS
Startups,STARTUPS
Storage_Pool,STORAGE_POOL
Svc_Pid_Map,SVC_PID_MAP
Sysinfo,SYSINFO
Test_Internet_Connectivity,TEST_INTERNET_CONNECTIVITY
Unsigned_Drivers,UNSIGNED_DRIVERS
VSS_List,VSS_LIST
View_Running_Services,VIEW_RUNNING_SERVICES
View_System_Uptime,VIEW_SYSTEM_UPTIME
WMI_Check,WMI_CHECK
WMI_Fullrepair,WMI_FULLREPAIR
WMI_Rebuild,WMI_REBUILD
WMI_Reregister,WMI_REREGISTER
WMI_Restart,WMI_RESTART
WMI_Verify,WMI_VERIFY
WSL_Safe_List,WSL_SAFE_LIST
WSL_Shell,WSL_SHELL
WSL_Shutdown,WSL_SHUTDOWN
WSL_Status,WSL_STATUS
WSL_Version,WSL_VERSION
Wifi_Passwords,WIFI_PASSWORDS
Winrm_Status,WINRM_STATUS
Wsreset,WSRESET
